Rep,Genotype,N-level,Inoculation,Type,wet-weight_mg
R3,G1,N1,E,Root,27
R3,G1,N1,F,Root,32.5
R3,G1,N1,G,Root,34
R3,G1,N2,A,Root,42
R3,G1,N2,B,Root,17
R3,G1,N2,C,Root,31.5
R3,G1,N2,D,Root,19.5
R3,G1,N2,E,Root,43.5
R3,G1,N2,F,Root,56
R3,G1,N2,G,Root,26
R3,G2,N1,A,Root,19
R3,G2,N1,B,Root,19
R3,G2,N1,C,Root,18.5
R3,G2,N1,D,Root,21.5
R3,G2,N1,E,Root,15
R3,G2,N1,F,Root,29.5
R3,G2,N1,G,Root,18.5
R3,G2,N2,A,Root,27.5
R3,G2,N2,B,Root,15
R3,G2,N2,C,Root,11.5
R3,G2,N2,D,Root,15.5
R3,G2,N2,E,Root,29
R3,G2,N2,F,Root,18.5
R3,G2,N2,G,Root,17.5
R4,G1,N1,A,Root,22
R4,G1,N1,B,Root,37.5
R4,G1,N1,C,Root,42
R4,G1,N1,D,Root,36
R4,G1,N1,E,Root,33.5
R4,G1,N1,F,Root,54
R4,G1,N1,G,Root,29.5
R4,G1,N2,A,Root,18
R4,G1,N2,B,Root,57.5
R4,G1,N2,C,Root,24
R4,G1,N2,D,Root,32.5
R4,G1,N2,E,Root,42.5
R4,G1,N2,F,Root,33
R4,G1,N2,G,Root,43.5
R4,G2,N1,A,Root,15.5
R4,G2,N1,B,Root,16.5
R4,G2,N1,C,Root,30
R4,G2,N1,D,Root,25
R4,G2,N1,E,Root,13.5
R4,G2,N1,F,Root,28.5
R4,G2,N1,G,Root,15
R4,G2,N2,A,Root,20.5
R4,G2,N2,B,Root,13.5
R4,G2,N2,C,Root,14
R4,G2,N2,D,Root,15
R4,G2,N2,E,Root,16
R4,G2,N2,F,Root,30.5
R4,G2,N2,G,Root,17
R1,G1,N1,A,Tuber,148.5
R1,G1,N1,B,Tuber,153
R1,G1,N1,C,Tuber,142.5
R1,G1,N1,D,Tuber,112
R1,G1,N1,E,Tuber,161.5
R1,G1,N1,F,Tuber,16
R1,G1,N1,G,Tuber,125
R1,G1,N2,A,Tuber,68.5
R1,G1,N2,B,Tuber,69.5
R1,G1,N2,C,Tuber,86
R1,G1,N2,D,Tuber,71
R1,G1,N2,E,Tuber,96.5
R1,G1,N2,F,Tuber,65.5
R1,G1,N2,G,Tuber,65.5
R1,G2,N1,A,Tuber,128
R1,G2,N1,B,Tuber,131
R1,G2,N1,C,Tuber,214.5
R1,G2,N1,D,Tuber,120.5
R1,G2,N1,E,Tuber,186
R1,G2,N1,F,Tuber,206
R1,G2,N1,G,Tuber,178
R1,G2,N2,A,Tuber,68.5
R1,G2,N2,B,Tuber,50.5
R1,G2,N2,C,Tuber,25.5
R1,G2,N2,D,Tuber,69.5
R1,G2,N2,E,Tuber,88
R1,G2,N2,F,Tuber,129
R1,G2,N2,G,Tuber,102.5
R2,G1,N1,A,Tuber,156
R2,G1,N1,B,Tuber,205
R2,G1,N1,C,Tuber,146.5
R2,G1,N1,D,Tuber,183
R2,G1,N1,E,Tuber,146
R2,G1,N1,F,Tuber,166.5
R2,G1,N1,G,Tuber,128
R2,G1,N2,A,Tuber,92
R2,G1,N2,B,Tuber,102
R2,G1,N2,C,Tuber,81.5
R2,G1,N2,D,Tuber,77
R2,G1,N2,E,Tuber,88
R2,G1,N2,F,Tuber,75
R2,G1,N2,G,Tuber,82.5
R2,G2,N1,A,Tuber,161.5
R2,G2,N1,B,Tuber,150
R2,G2,N1,C,Tuber,129.5
R2,G2,N1,D,Tuber,208
R2,G2,N1,E,Tuber,126.5
R2,G2,N1,F,Tuber,209.5
R2,G2,N1,G,Tuber,129.5
R2,G2,N2,A,Tuber,132
R2,G2,N2,B,Tuber,122.5
R2,G2,N2,C,Tuber,124.5
R2,G2,N2,D,Tuber,116
R2,G2,N2,E,Tuber,108
R2,G2,N2,F,Tuber,92
R2,G2,N2,G,Tuber,131.5
R3,G1,N1,A,Tuber,174.5
R3,G1,N1,B,Tuber,166
R3,G1,N1,C,Tuber,200.5
R3,G1,N1,D,Tuber,175
R3,G1,N1,E,Tuber,105.5
R3,G1,N1,F,Tuber,211
R3,G1,N1,G,Tuber,128
R3,G1,N2,A,Tuber,141
R3,G1,N2,B,Tuber,106
R3,G1,N2,C,Tuber,194
R3,G1,N2,D,Tuber,88.5
R3,G1,N2,E,Tuber,152.5
R3,G1,N2,F,Tuber,127
R3,G1,N2,G,Tuber,121
R3,G2,N1,A,Tuber,198
R3,G2,N1,B,Tuber,185.5
R3,G2,N1,C,Tuber,172.5
R3,G2,N1,D,Tuber,223.5
